id;f1_distancia;f2_inequidad
0;223644.75000000015;0.1690968657308585
1;207088.79000000015;0.28059336928888556
2;215763.9600000001;0.20615528128088306
3;210217.9000000001;0.2515231378797762
4;216939.45000000016;0.19202864369671524
5;219235.88000000015;0.1763341997458236
6;220984.22000000015;0.16909686573085855
7;209891.7100000001;0.2592724864350675
8;207414.98000000016;0.27433632035635885
9;208290.30000000013;0.2699987139887069
10;208616.49000000014;0.263753620301641
11;209016.39000000013;0.2614064523559688
